Designator,Mid X,Mid Y,Layer,Rotation
C10,19mm,41.5mm,B,270
C11,27.6mm,41.4mm,B,270
C15,85.1mm,9mm,B,180
C17,45mm,28mm,B,270
C19,48mm,23mm,B,270
C3,69mm,17mm,B,90
C8,64.5mm,42.3mm,B,90
C9,71.5mm,42.3mm,B,90
D1,68.7mm,29mm,B,0
D2,19mm,29mm,B,180
IC5,60mm,19mm,B,270
L3,48mm,27.95mm,B,270
LED1,1.72mm,77.78mm,B,180
LED2,88.08mm,46mm,B,0
LED3,88.08mm,29.36mm,B,180
LED4,88.08mm,37.68mm,B,180
R1,85.98mm,37.68mm,B,90
R2,85.98mm,29.36mm,B,90
R3,85.98mm,46mm,B,270
R4,4.32mm,77.78mm,B,270
R5,61.4mm,42.3mm,B,90
R6,14.8mm,41.4mm,B,270
R7,23.4mm,40mm,B,180
R8,68mm,41mm,B,180